source_key,target_key,ref_type
adams_rm:1977b,plantinga_a:1974,further_ref
adams_rm:1979a,adams_rm:1987,further_ref
adams_rm:1979b,adams_rm:1987,further_ref
adams_rm:1979c,adams_rm:1987,further_ref
adams_rm:1979d,adams_rm:1987,further_ref
adams_rm:1979d,delaney_cf:1979,depends_on
adams_rm:1980,adams_rm:1987,further_ref
adams_rm:1983,adams_rm:1987,further_ref
adams_rm:1984,adams_rm:1987,further_ref
adams_rm:1984a,adams_rm:1987,further_ref
adams_rm:1985a,tomberlin-vaninwagen:1985,depends_on
adams_rm:1986,almog-etal:1989,further_ref
adams_rm:1987b,adams_rm:1987,depends_on
adams_rm:1987c,sosa_e:1987,depends_on
adams_rm:1988c,morris_tv:1988,depends_on
adams_rm:1989,dancy_j:1997,further_ref
adams_rm:1989,parfit:1984,further_ref
adams_rm:1991,phil-perspectives:1991,depends_on
adams_rm:1993a,stump_e:1993,depends_on
adams_rm:1996a,phillips_dz:1996,depends_on
adams_rm:1997c,davis_st:1997,depends_on
adams_rm:1997c,hick_jh:1994,further_ref
adams_rm:2002,adams_rm:1999,further_ref
adams_rm:2002a,nussbaum_mc:2002b,further_ref
adams_rm:2002a,quinn_pl:2002a,further_ref
adams_rm:2002a,wolf_s:2002,further_ref
adams_rm:2002a,zagzebski:2002a,further_ref
adams_rm:2006a,zagzebski:2004,further_ref
adams_rm:2007,vaninwagen-zimmerman:2007,depends_on
adams_rm:2007a,adams_rm:1974,further_ref
adams_rm:2007a,garcia_e-nef:2007,depends_on
adams_rm:2007b,ayers_m:2007,depends_on
adams_rm:2009,newlands-jorgensen:2009,depends_on
adams_rm:2009b,tabensky:2009,depends_on
adams_rm:2010,adams_rm:2006,further_ref
adams_rm:2010a,doris_j:2010,further_ref
adams_rm:2010a,kamtekar:2010,further_ref
adams_tl:1988,hare_p:1988,depends_on
adams_tr:2011,green_k-mews:2011,depends_on
adams_wa:1991,carver_t:1991,depends_on
adams_wa:2001,akman-etal:2001,depends_on
adams_z-maher:2017,adams_z-browning:2017,depends_on
adams_z:2012,kitcher_ph:2011,further_ref
adams_z:2013,machuca:2013,depends_on
adamson_p-karfik:2017,dhoine-martijn:2017,depends_on
adamson_p-key:2015,cameron_m-stainton:2015,depends_on
adamson_p-taylor:2005a,adamson_p-taylor:2005,depends_on
adamson_p-wisnovsky:2017,pasnau:2017,depends_on
adamson_p:2005b,gersh-moran:2005,depends_on
adamson_p:2010,skorupski:2010a,depends_on
adamson_p:2010a,harte_v-etal:2010,depends_on
adamson_p:2010b,pasnau-vandyke:2010,depends_on
adamson_p:2012,shields_c:2012,depends_on
adamson_p:2012a,marenbon:2012,depends_on
adamson_p:2014a,warren_j-sheffield:2014,depends_on
adamson_p:2016a,melamed_yy:2016,depends_on
adamson_p:2016b,elrouayheb-schmidtke:2016,depends_on
adamson_p:2016c,taylor_rc-lopezfarjeat:2016,depends_on
adamson_p:2016d,schmidtke_s:2016,depends_on
adamson_p:2017a,harte_v-woolf:2017,depends_on
adamson_p:2018a,adamson_p-edwards:2018,depends_on
adamson_p:2018b,adamson_p-edwards:2018,depends_on
adamson_p:2021b,kriegel_u:2021,depends_on
adamson_r:1883,sidgwick_h:1883,further_ref
adamson_r:1883,sidgwick_h:1883a,further_ref
adamson_w:2003,baldwin_t:2003,depends_on
addanki-etal:1989,sridharan_ns:1989,depends_on
addanki-etal:1989,weld_ds-dekleer:1990,further_ref
addelson_kp:1983,harding_s-hintikka:1983,depends_on
addelson_kp:1985,asquith-kitcher:1985,depends_on
addis_a:1997,shapiro_i-kymlicka:1997,depends_on
addis_l:1974,schaffner_kf-cohen:1974,depends_on
addis_l:1974a,gram_ms-klemke:1974,depends_on
addis_l:1976,cohen_rs-etal:1976,depends_on
addis_l:2003,gracia_j-etal:2003,depends_on
addis_l:2004,korta-larrazabal:2004,depends_on
addis_l:2005,forrai_g-kampis:2005,depends_on
addis_l:2008a,egidi_r-bonino:2008,depends_on
addison:1974,jech_t:1974,depends_on
addison:2008,ehrenfeucht-etal:2008,depends_on
adelman_le-etal:2017,demontbiaggi_f:2017,depends_on
adelmann:1966a,adelmann:1966,depends_on
ademollo:2010,inwood_b:2010,depends_on
ademollo:2012,inwood_b:2012a,depends_on
ademollo:2015,cameron_m-stainton:2015,depends_on
ademollo:2018,caston_v:2018a,depends_on
adewole:2020,omaoilearca_lc-lagaay:2020,depends_on
adiba-lopez:1987,paredaens:1987,depends_on
adickes:1977,adickes:1924,further_ref
adkins_awh:1983,anton_jp-preus:1983,depends_on
adkins_awh:1983a,robb_k:1983,depends_on
adler_je-hicks:2014,chan_t:2014,depends_on
adler_je:1976,suppe-asquith:1976,depends_on
adler_je:1990,roth_md-ross:1990,depends_on
adler_je:1999,midwest:1999,depends_on
adler_je:2003,curren:2003,depends_on
adler_je:2007a,antony_lm:2007,depends_on
adler_je:2018,michaelson-stokke:2018,depends_on
adler_ji:2007,vankerkhove-vanbendegem:2007,depends_on
adler_jo:2014,stalmaszczyk:2014a,depends_on
adler_m:2012,tiersma_p-solan:2012,depends_on
adler_md:2010,patterson_dm:2010,depends_on
adler_md:2015,hirose-olson:2015,depends_on
adlercreutz:1964,lejman_f-norbeck:1964,depends_on
adluri_s:2013,diller_ja-kasher:2013,depends_on
adluri_v-lenz:2013,adluri_v:2013,depends_on
adluri_v:2013a,adluri_v:2013,depends_on
admati:2017,herzog_l:2017,depends_on
admoni:1981,kanger-oehman:1981,depends_on
adolph:1975,primer:1975,depends_on
adomaitis:2012,gaskin_r:2008,further_ref
adomenas:2001,sedley:2001a,depends_on
adorno_tw:2001,adorno_tw:1995,further_ref
adrados_fr:1981,trabant:1981,depends_on
adriaans-dehaas:2000,cardie-etal:2000,depends_on
adriaans-vanbenthem:2008a,adriaans-vanbenthem:2008,depends_on
adriaans:2008,adriaans-vanbenthem:2008,depends_on
adriaenssen_ht:2014,pasnau:2014,depends_on
aenishaenslin_m:2000,bourgeois_b-havet:2000,depends_on
aerts:1981,beltrametti-vanfraassen:1981,depends_on
aerts:1998,castellani_e:1998,depends_on
aertsen:1991,mojsisch-pluta:1991,depends_on
aertsen:1998a,aertsen-speer:1998,depends_on
aertsen:2000,aertsen-speer:2000,depends_on
aertsen:2002,federicivescovini:2002,depends_on
aertsen:2006,pacheco_mc-meirinhos:2006,depends_on
aertsen:2010,pasnau-vandyke:2010,depends_on
afaki:2013,tymieniecka:2013,depends_on
afaki:2014,tymieniecka:2014a,depends_on
afejuku:2004,tymieniecka:2004b,depends_on
afejuku:2005,tymieniecka:2005a,depends_on
afejuku:2005a,tymieniecka:2005a,depends_on
afejuku:2007,tymieniecka:2007b,depends_on
afejuku:2016,tymieniecka-truttycoohill:2016,depends_on
afejuku:2021,hornbuckle-etal:2021,depends_on
