id,journal_key,name_latex,name_unicode,issn_print,issn_electronic
296,deutsche-literaturzeitung,Deutsche Literaturzeitung,Deutsche Literaturzeitung,,
297,deutsche-mathematik,Deutsche Mathematik,Deutsche Mathematik,,
298,developmental-medicine-and-child-neurology,Developmental Medicine and Child Neurology,Developmental Medicine and Child Neurology,,
299,developmental-psychology,Developmental Psychology,Developmental Psychology,,
300,developmental-review,Developmental Review,Developmental Review,,
301,developmental-science,Developmental Science,Developmental Science,,
302,die-neue-rundschau,Die neue Rundschau,Die neue Rundschau,,
303,die-neue-zeit-revue-des-geistigen-und-offentlichen-lebens,"Die neue Zeit.~Revue des geistigen und {\""o}ffentlichen Lebens",Die neue Zeit. Revue des geistigen und öffentlichen Lebens,,
304,die-presse,Die Presse,Die Presse,,
305,die-sprache,Die Sprache,Die Sprache,,
306,die-umschau,Die Umschau,Die Umschau,,
307,discourse-processes,Discourse Processes,Discourse Processes,,
308,distributed-computing,Distributed Computing,Distributed Computing,,
309,dixseptieme-siecle,Dix-septi{\`e}me si{\`e}cle,Dix-septième siècle,,
310,dreaming,Dreaming,Dreaming,,
311,droits,Droits,Droits,,
312,dualist,Dualist,Dualist,,
313,eastern-economic-journal,Eastern Economic Journal,Eastern Economic Journal,,
314,ecclesiology,Ecclesiology,Ecclesiology,,
315,ecological-economics,Ecological Economics,Ecological Economics,,
316,ecological-monographs,Ecological Monographs,Ecological Monographs,,
317,ecological-psychology,Ecological Psychology,Ecological Psychology,,
318,economic-journal,Economic Journal,Economic Journal,,
319,economics-letters,Economics Letters,Economics Letters,,
320,educational-psychology,Educational Psychology,Educational Psychology,,
321,educational-review,Educational Review,Educational Review,,
322,educational-theory,Educational Theory,Educational Theory,,
323,electronic-newsletter-on-reasoning-about-actions-and-change,Electronic Newsletter on Reasoning about Actions and Change,Electronic Newsletter on Reasoning about Actions and Change,,
324,electronic-transactions-on-artificial-intelligence,Electronic Transactions on Artificial Intelligence,Electronic Transactions on Artificial Intelligence,,
325,elenchos,Elenchos,Elenchos,,
326,empirical-studies-in-the-arts,Empirical Studies in the Arts,Empirical Studies in the Arts,,
327,encounter,Encounter,Encounter,,
328,english-journal,English Journal,English Journal,,
329,english-language-and-linguistics,English Language and Linguistics,English Language and Linguistics,,
330,english-studies,English Studies,English Studies,,
331,english-today,English Today,English Today,,
332,enquete,Enqu{\^e}te,Enquête,,
333,entropy,Entropy,Entropy,,
334,environment-and-planning-b-planning-and-design,Environment and Planning B: Planning and Design,Environment and Planning B: Planning and Design,,
335,episteme-denison,Episteme (Denison),Episteme (Denison),,
336,epistemologia-an-international-review-for-the-philosophy-of-science,Epistemologia.~An International Review for the Philosophy of Science,Epistemologia. An International Review for the Philosophy of Science,,
337,ergo,Ergo,Ergo,,
338,esprit,Esprit,Esprit,,
339,esprit-createur,Esprit Cr{\'e}ateur,Esprit Créateur,,
340,essais,Essais,Essais,,
341,ethology,Ethology,Ethology,,
342,etycka,Etycka,Etycka,,
343,eureka,Eureka,Eureka,,
344,eureka-street,Eureka Street,Eureka Street,,
345,europe,Europe,Europe,,
346,european-journal-of-cognitive-psychology,European Journal of Cognitive Psychology,European Journal of Cognitive Psychology,,
347,european-journal-of-developmental-psychology,European Journal of Developmental Psychology,European Journal of Developmental Psychology,,
348,european-journal-of-parapsychology,European Journal of Parapsychology,European Journal of Parapsychology,,
349,european-journal-of-political-theory,European Journal of Political Theory,European Journal of Political Theory,,
350,european-journal-of-social-theory,European Journal of Social Theory,European Journal of Social Theory,,
351,european-psychologist,European Psychologist,European Psychologist,,
352,eu-s,EuS,EuS,,
353,evolution-and-human-behavior,Evolution and Human Behavior,Evolution and Human Behavior,,
354,excerpta-medica-neurology,Excerpta Medica Neurology,Excerpta Medica Neurology,,
355,exeter-british-association-report,Exeter British Association Report,Exeter British Association Report,,
356,experientia,Experientia,Experientia,,
357,experimental-brain-research,Experimental Brain Research,Experimental Brain Research,,
358,expositiones-mathematicae,Expositiones Mathematicae,Expositiones Mathematicae,,
359,faith-and-thought,Faith and Thought,Faith and Thought,,
360,finnischurgarische-forschungen,Finnisch-urgarische Forschungen,Finnisch-urgarische Forschungen,,
361,fordham-law-review,Fordham Law Review,Fordham Law Review,,
362,foreign-affairs,Foreign Affairs,Foreign Affairs,,
363,forschungen-zur-logik-und-zur-grundlegung-der-exakten-wissenschaften,Forschungen zur Logik und zur Grundlegung der exakten Wissenschaften,Forschungen zur Logik und zur Grundlegung der exakten Wissenschaften,,
364,fortnightly-review,Fortnightly Review,Fortnightly Review,,
365,fraser-forum,Fraser Forum,Fraser Forum,,
366,french-studies,French Studies,French Studies,,
367,friends-journal,Friends Journal,Friends Journal,,
368,frontiers-in-artificial-intelligence-and-applications,Frontiers in Artificial Intelligence and Applications,Frontiers in Artificial Intelligence and Applications,,
369,frontiers-in-psychology,Frontiers in Psychology,Frontiers in Psychology,,
370,future-generation-computer-systems,Future Generation Computer Systems,Future Generation Computer Systems,,
371,fuzzy-sets-and-systems,Fuzzy Sets and Systems,Fuzzy Sets and Systems,,
372,game-studies-an-international-journal-of-computer-game-research,Game Studies -- an International Journal of Computer Game Research,Game Studies – an International Journal of Computer Game Research,,
373,games-and-culture,Games and Culture,Games and Culture,,
374,gb,gb,gb,,
375,general-relativity-and-gravitation,General Relativity and Gravitation,General Relativity and Gravitation,,
376,geological-society-of-american-special-paper,Geological Society of American Special Paper,Geological Society of American Special Paper,,
377,georgia-law-review,Georgia Law Review,Georgia Law Review,,
378,georgia-review,Georgia Review,Georgia Review,,
379,gesnerus,Gesnerus,Gesnerus,,
380,gi-jahrestagung,GI Jahrestagung,GI Jahrestagung,,
381,giessener-universitatsblatter,"Giessener Universit{\""a}tsbl{\""a}tter",Giessener Universitätsblätter,,
382,glossa,Glossa,Glossa,,
383,gnomon,Gnomon,Gnomon,,
384,gothenburg-papers-in-theoretical-linguistics,Gothenburg Papers in Theoretical Linguistics,Gothenburg Papers in Theoretical Linguistics,,
385,greek-roman-and-byzantine-studies,"Greek, Roman, and Byzantine Studies","Greek, Roman, and Byzantine Studies",,
386,gregorianum,Gregorianum,Gregorianum,,
387,group-processes-intergroup-relations,Group Processes \& Intergroup Relations,Group Processes & Intergroup Relations,,
388,gymnasium,Gymnasium,Gymnasium,,
389,gymnasium-helveticum,Gymnasium Helveticum,Gymnasium Helveticum,,
390,holderlin-jahrbuch,"H{\""o}lderlin-Jahrbuch",Hölderlin-Jahrbuch,,
391,harpers-magazine,Harper's Magazine,Harper's Magazine,,
392,harvard-journal-of-law-and-public-policy,Harvard Journal of Law and Public Policy,Harvard Journal of Law and Public Policy,,
393,harvard-law-review,Harvard Law Review,Harvard Law Review,,
394,harvard-theological-review,Harvard Theological Review,Harvard Theological Review,,
395,hermes-zeitschrift-fur-klassische-philologie,"Hermes.~Zeitschrift f{\""u}r klassische Philologie",Hermes. Zeitschrift für klassische Philologie,,
396,hersetec-journal-of-hermeneutic-study-and-education-of-textual-configuration,HERSETEC: Journal of Hermeneutic Study and Education of Textual Configuration,HERSETEC: Journal of Hermeneutic Study and Education of Textual Configuration,,
397,histoire-des-ouvrages-des-savans,Histoire des ouvrages des savans,Histoire des ouvrages des savans,,
398,historiographia-linguistica,Historiographia linguistica,Historiographia linguistica,,
399,history-of-political-economy,History of Political Economy,History of Political Economy,,
400,history-of-political-thought,History of Political Thought,History of Political Thought,,
401,horizon,Horizon,Horizon,,
402,human-evolution,Human Evolution,Human Evolution,,
403,human-neurobiology,Human Neurobiology,Human Neurobiology,,
404,human-relations,Human Relations,Human Relations,,
405,humanisme-revue-des-francs-macons-du-grand-orient-de-france,Humanisme - Revue des Francs-Ma{\c{c}}ons du Grand Orient de France,Humanisme - Revue des Francs-Maçons du Grand Orient de France,,
406,humanistic-psychologist,Humanistic Psychologist,Humanistic Psychologist,,
407,humanitas,Humanitas,Humanitas,,
408,humanities-international-christian-university-publication-ivb-mitaka-tokyo,"Humanities -- International Christian University Publication IV-B (Mitaka, Tokyo)","Humanities – International Christian University Publication IV-B (Mitaka, Tokyo)",,
409,humanities-in-society,Humanities in Society,Humanities in Society,,
410,imago,Imago,Imago,,
411,impacts,Impacts,Impacts,,
412,imprints,Imprints,Imprints,,
413,indian-journal-of-physiology-and-pharmacology,Indian Journal of Physiology and Pharmacology,Indian Journal of Physiology and Pharmacology,,
414,indian-journal-of-psychology,Indian Journal of Psychology,Indian Journal of Psychology,,
415,information-and-control,Information and Control,Information and Control,,
416,information-processing-letters,Information Processing Letters,Information Processing Letters,,
417,inquiry-critical-thinking-across-the-disciplines,Inquiry: Critical Thinking Across the Disciplines,Inquiry: Critical Thinking Across the Disciplines,,
418,insight-nigeria,Insight (Nigeria),Insight (Nigeria),,
419,integrative-physiological-and-behavioral-science,Integrative Physiological and Behavioral Science,Integrative Physiological and Behavioral Science,,
420,intellectica,Intellectica,Intellectica,,
421,interchange,Interchange,Interchange,,
422,intercultural-pragmatics,Intercultural Pragmatics,Intercultural Pragmatics,,
423,interfaces,Interfaces,Interfaces,,
424,international-anesthesiology-clinics,International Anesthesiology Clinics,International Anesthesiology Clinics,,
425,international-journal-of-american-linguistics,International Journal of American Linguistics,International Journal of American Linguistics,,
426,international-journal-of-approximate-reasoning,International Journal of Approximate Reasoning,International Journal of Approximate Reasoning,,
427,international-journal-of-comparative-psychology,International Journal of Comparative Psychology,International Journal of Comparative Psychology,,
428,international-journal-of-computing-anticipatory-systems,International Journal of Computing Anticipatory Systems,International Journal of Computing Anticipatory Systems,,
429,international-journal-of-data-science-and-analytics,International Journal of Data Science and Analytics,International Journal of Data Science and Analytics,,
430,international-journal-of-epidemiology,International Journal of Epidemiology,International Journal of Epidemiology,,
431,international-journal-of-expert-systems,International Journal of Expert Systems,International Journal of Expert Systems,,
432,international-journal-of-foundations-of-computer-science,International Journal of Foundations of Computer Science,International Journal of Foundations of Computer Science,,
433,international-journal-of-game-theory,International Journal of Game Theory,International Journal of Game Theory,,
434,international-journal-of-human-computer-interaction,International Journal of Human-Computer Interaction,International Journal of Human-Computer Interaction,,
435,international-journal-of-human-computer-studies,International Journal of Human-Computer Studies,International Journal of Human-Computer Studies,,
436,international-journal-of-intelligent-systems,International Journal of Intelligent Systems,International Journal of Intelligent Systems,,
437,international-journal-of-man-machine-studies,International Journal of Man-Machine Studies,International Journal of Man-Machine Studies,,
438,international-journal-of-mathematical-education-science-and-technology,"International Journal of Mathematical Education, Science and Technology","International Journal of Mathematical Education, Science and Technology",,
439,international-journal-of-modern-physics,International Journal of Modern Physics,International Journal of Modern Physics,,
440,international-journal-of-neuroscience,International Journal of Neuroscience,International Journal of Neuroscience,,
441,international-journal-of-parallel-programming,International Journal of Parallel Programming,International Journal of Parallel Programming,,
442,international-journal-of-philosophy-taipei,International Journal of Philosophy [Taipei],International Journal of Philosophy [Taipei],,
443,international-journal-of-psychoanalysis,International Journal of Psychoanalysis,International Journal of Psychoanalysis,,
444,international-journal-of-psychoanalytic-psychotherapy,International Journal of Psychoanalytic Psychotherapy,International Journal of Psychoanalytic Psychotherapy,,
445,international-journal-of-psychology,International Journal of Psychology,International Journal of Psychology,,
446,international-journal-of-psychophysiology,International Journal of Psychophysiology,International Journal of Psychophysiology,,
447,international-journal-of-sociology-and-social-policy,International Journal of Sociology and Social Policy,International Journal of Sociology and Social Policy,,
448,international-journal-of-systematic-theology,International Journal of Systematic Theology,International Journal of Systematic Theology,,
449,international-journal-of-the-foundations-of-computer-science,International Journal of the Foundations of Computer Science,International Journal of the Foundations of Computer Science,,
450,international-journal-of-theoretical-physics,International Journal of Theoretical Physics,International Journal of Theoretical Physics,,
451,international-journal-on-human-computer-studies,International Journal on Human-Computer Studies,International Journal on Human-Computer Studies,,
452,international-journal-on-intelligent-and-cooperative-information-systems,International Journal on Intelligent and Cooperative Information Systems,International Journal on Intelligent and Cooperative Information Systems,,
453,international-review-of-pragmatics,International Review of Pragmatics,International Review of Pragmatics,,
454,international-review-of-psychoanalysis,International Review of Psychoanalysis,International Review of Psychoanalysis,,
455,international-social-science-journal,International Social Science Journal,International Social Science Journal,,
