id,series_key,name_latex,name_unicode
1012,cnrs_philosophie,CNRS philosophie,CNRS philosophie
1013,quaestiones_infinitae_publications_of_the_department_of_philosophy_utrecht_university,"Quaestiones Infinitae.~Publications of the Department of Philosophy, Utrecht University","Quaestiones Infinitae. Publications of the Department of Philosophy, Utrecht University"
1014,scientiae_studies,Scientiae Studies,Scientiae Studies
1015,university_of_notre_dame_studies_in_the_philosophy_of_religion,University of Notre Dame Studies in the Philosophy of Religion,University of Notre Dame Studies in the Philosophy of Religion
1016,studies_on_ancient_moral_and_political_philosophy,Studies on Ancient Moral and Political Philosophy,Studies on Ancient Moral and Political Philosophy
1017,s_e_mantiques,S{\'e}mantiques,Sémantiques
1018,studia_aristotelica,Studia Aristotelica,Studia Aristotelica
1019,abhandlungen_der_herder_gesellschaft_und_des_herder_instituts_zu_riga,Abhandlungen der Herder-Gesellschaft und des Herder-Instituts zu Riga,Abhandlungen der Herder-Gesellschaft und des Herder-Instituts zu Riga
1020,abhandlungen_der_akademie_der_wissenschaften_und_der_literatur_geistes_und_sozialwissenschaftliche_klasse,Abhandlungen der Akademie der Wissenschaften und der Literatur.~Geistes- und Sozialwissenschaftliche Klasse,Abhandlungen der Akademie der Wissenschaften und der Literatur. Geistes- und Sozialwissenschaftliche Klasse
1021,edinburgh_german_yearbook,Edinburgh German Yearbook,Edinburgh German Yearbook
1022,rationalismes,Rationalismes,Rationalismes
1023,il_corpo_e_l_anima,Il corpo e l'anima,Il corpo e l'anima
1024,biblioth_e_que_des_sciences,Biblioth{\`e}que des sciences,Bibliothèque des sciences
1025,international_library_of_critical_essays_in_the_history_of_philosophy,International Library of Critical Essays in the History of Philosophy,International Library of Critical Essays in the History of Philosophy
1026,corpus_philosophorum_medii_aevi_subsidia,Corpus Philosophorum Medii Aevi.~Subsidia,Corpus Philosophorum Medii Aevi. Subsidia
1027,blackwell_philosophy_anthologies,Blackwell Philosophy Anthologies,Blackwell Philosophy Anthologies
1028,filosofiska_f_o_reningen,"Filosofiska f{\""o}reningen",Filosofiska föreningen
1029,stanford_series_in_philosophy,Stanford Series in Philosophy,Stanford Series in Philosophy
1030,routledge_philosophy_guidebook,Routledge Philosophy Guidebook,Routledge Philosophy Guidebook
1031,prospective_m_e_moire,Prospective -- M{\'e}moire,Prospective – Mémoire
1032,edinbrgh_philosophical_guide,Edinbrgh Philosophical Guide,Edinbrgh Philosophical Guide
1033,studies_in_international_linguistics,Studies in International Linguistics,Studies in International Linguistics
1034,routledge_studies_in_nineteenth_century_philosophy,Routledge Studies in Nineteenth-Century Philosophy,Routledge Studies in Nineteenth-Century Philosophy
1035,mind_association_occasional_series,Mind Association Occasional Series,Mind Association Occasional Series
1036,new_studies_in_the_philosophy_of_religion,New Studies in the Philosophy of Religion,New Studies in the Philosophy of Religion
